0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:48 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:49 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:49 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:54:49 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14116
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:42 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:57:43 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14210
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:00:53 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:37 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14353
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:37 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:38 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14353
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:50 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:51 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:51 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:51 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:02:51 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14331
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:03:49 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14333
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 200 93879
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/ap1.jpg HTTP/1.1" 200 126682
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/piaget.png HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:17 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 200 5207153
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:37 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14333
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:37 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:37 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:37 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:04:37 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/home HTTP/1.1" 200 14333
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/css/footer.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 200 803797
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 200 55694
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 200 111011
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 200 150459
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 200 142548
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 200 442201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 200 266903
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 200 465270
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/Rolex.png HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/Rado1.jpg HTTP/1.1" 200 21436
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/Omega.jpg HTTP/1.1" 200 11553
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/gucci.jpg HTTP/1.1" 200 29787
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/cartier.jpg HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/hublot.jpg HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Mar/2017:17:36:59 +0530] "GET /WatchesBrandDirect/Resources/images/pp1.jpg HTTP/1.1" 200 9646
